Scenario;range.scale;res_pred_grid;sample.by;prop.points.for.area;E;RR;gamma0
1;0.4;25;all_areas;0.021;100;1.05;-0.4
2;0.4;25;all_areas;0.1;100;1.05;-0.4
3;0.4;25;all_areas;0.3;100;1.05;-0.4
4;0.4;50;all_areas;0.021;100;1.05;-0.4
5;0.4;50;all_areas;0.1;100;1.05;-0.4
6;0.4;50;all_areas;0.3;100;1.05;-0.4
7;0.4;100;all_areas;0.021;100;1.05;-0.4
8;0.4;100;all_areas;0.1;100;1.05;-0.4
9;0.4;100;all_areas;0.3;100;1.05;-0.4
10;0.4;25;all_areas;0.021;100;1.25;-2
11;0.4;25;all_areas;0.1;100;1.25;-2
12;0.4;25;all_areas;0.3;100;1.25;-2
13;0.4;50;all_areas;0.021;100;1.25;-2
14;0.4;50;all_areas;0.1;100;1.25;-2
15;0.4;50;all_areas;0.3;100;1.25;-2
16;0.4;100;all_areas;0.021;100;1.25;-2
17;0.4;100;all_areas;0.1;100;1.25;-2
18;0.4;100;all_areas;0.3;100;1.25;-2